epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,10461.1,1.38142,1.26537,1.39374,0.76008,0.64884,0.69195,0.45778,1.45878,1.06872,1.2981,0.00622,0.00622,0.00622
65,10623.6,1.41679,1.28961,1.40587,0.76253,0.65115,0.68947,0.45505,1.4603,1.06914,1.29896,0.00616,0.00616,0.00616
66,10786.7,1.3896,1.26618,1.39298,0.74575,0.65684,0.68975,0.45269,1.45479,1.05835,1.29286,0.0061,0.0061,0.0061
67,10957.5,1.37743,1.25837,1.39415,0.772,0.6632,0.69816,0.45887,1.44209,1.02552,1.2994,0.00604,0.00604,0.00604
68,11123.3,1.35161,1.21498,1.37917,0.76652,0.65202,0.69337,0.46143,1.4464,1.05209,1.29774,0.00598,0.00598,0.00598
69,11290.4,1.39134,1.28326,1.40424,0.79301,0.65844,0.70318,0.46428,1.42741,1.02021,1.28196,0.00592,0.00592,0.00592
70,11461.5,1.37933,1.24297,1.39669,0.77493,0.64518,0.69541,0.46361,1.42605,1.03785,1.27808,0.00586,0.00586,0.00586
71,11629.3,1.38538,1.23646,1.38338,0.76777,0.65316,0.70023,0.45787,1.45196,1.0479,1.2822,0.0058,0.0058,0.0058
72,11794,1.37163,1.22028,1.4001,0.77577,0.65437,0.69804,0.4612,1.44082,1.04807,1.29532,0.00574,0.00574,0.00574
73,11959.8,1.37019,1.22384,1.37986,0.75373,0.65581,0.69741,0.46255,1.42559,1.03219,1.27637,0.00568,0.00568,0.00568
74,12126.9,1.3698,1.23242,1.38788,0.78561,0.64189,0.69144,0.45858,1.44131,1.03162,1.28836,0.00562,0.00562,0.00562
75,12297.2,1.38771,1.22345,1.38085,0.76133,0.67064,0.70552,0.46301,1.45646,1.01635,1.30356,0.00556,0.00556,0.00556
76,12465.6,1.36303,1.20881,1.37716,0.79581,0.65732,0.7058,0.46554,1.43338,1.00084,1.2797,0.0055,0.0055,0.0055
77,12636.9,1.37194,1.18995,1.37641,0.76949,0.65751,0.70418,0.46669,1.41855,0.99715,1.26979,0.00544,0.00544,0.00544
78,12807.7,1.34513,1.20427,1.36604,0.80463,0.63906,0.70296,0.46664,1.4194,1.01525,1.27512,0.00538,0.00538,0.00538
79,12976.5,1.37397,1.19936,1.37254,0.79578,0.6552,0.70425,0.46771,1.44354,1.01269,1.28548,0.00532,0.00532,0.00532
80,13147,1.36513,1.21339,1.37172,0.78408,0.66534,0.70607,0.46907,1.44693,0.98768,1.29524,0.00526,0.00526,0.00526
81,13313.7,1.36478,1.18378,1.37258,0.77652,0.67257,0.7076,0.47151,1.4431,0.99439,1.2843,0.0052,0.0052,0.0052
82,13476.5,1.36345,1.19402,1.3672,0.76057,0.66322,0.7015,0.46963,1.44186,0.996,1.28192,0.00514,0.00514,0.00514
83,13643.3,1.39034,1.2111,1.38715,0.77668,0.66591,0.70451,0.46811,1.42699,1.00179,1.27578,0.00508,0.00508,0.00508
84,13808.9,1.35144,1.18475,1.37299,0.79765,0.66399,0.71214,0.47514,1.41379,0.98997,1.27131,0.00502,0.00502,0.00502
85,13975.4,1.36418,1.20635,1.37581,0.77204,0.66943,0.6992,0.46451,1.42356,1.00545,1.2763,0.00496,0.00496,0.00496
86,14143.5,1.341,1.18623,1.36488,0.79006,0.66424,0.71145,0.47019,1.40656,0.9902,1.2715,0.0049,0.0049,0.0049
87,14309.4,1.36272,1.17401,1.37626,0.78541,0.67076,0.70776,0.47086,1.40738,0.99438,1.26814,0.00484,0.00484,0.00484
88,14474,1.35347,1.16459,1.37161,0.78251,0.67466,0.71416,0.47424,1.42406,0.99343,1.27152,0.00478,0.00478,0.00478
89,14639.5,1.35343,1.15167,1.35304,0.79205,0.66699,0.70983,0.47476,1.39333,0.97963,1.25723,0.00472,0.00472,0.00472
90,14800.7,1.33242,1.15886,1.35296,0.77519,0.67747,0.71121,0.47305,1.40944,0.98478,1.26164,0.00466,0.00466,0.00466
91,14964.8,1.34312,1.16777,1.36584,0.77029,0.67865,0.71436,0.47809,1.40055,0.9773,1.26053,0.0046,0.0046,0.0046
92,15128,1.34256,1.15009,1.3604,0.79434,0.67469,0.71933,0.48151,1.41599,0.97013,1.25934,0.00454,0.00454,0.00454
93,15291.8,1.34278,1.14656,1.3617,0.77801,0.66471,0.70588,0.47186,1.40895,0.99402,1.25939,0.00448,0.00448,0.00448
94,164.163,1.32747,1.11213,1.3509,0.78417,0.67222,0.71151,0.47466,1.4132,0.96446,1.27079,0.00442,0.00442,0.00442
95,322.629,1.33875,1.14357,1.35689,0.77053,0.68158,0.71342,0.47824,1.39895,0.95932,1.26271,0.00436,0.00436,0.00436
96,476.77,1.3301,1.12144,1.3414,0.77778,0.67838,0.7141,0.47491,1.40403,0.95665,1.26549,0.0043,0.0043,0.0043
97,630.183,1.34006,1.11114,1.34297,0.78288,0.6778,0.71547,0.47797,1.40451,0.96501,1.25789,0.00424,0.00424,0.00424
98,782.864,1.33312,1.11321,1.34285,0.7834,0.67548,0.71171,0.47594,1.41566,0.96765,1.26249,0.00418,0.00418,0.00418
99,939.074,1.33457,1.12164,1.3477,0.78664,0.67355,0.71286,0.47507,1.41606,0.96373,1.26991,0.00412,0.00412,0.00412
100,1101.04,1.32445,1.12487,1.3505,0.78104,0.67754,0.71197,0.47831,1.4049,0.96735,1.26043,0.00406,0.00406,0.00406
101,1268.93,1.32788,1.10666,1.34577,0.79005,0.67541,0.71557,0.47931,1.40321,0.94655,1.26076,0.004,0.004,0.004
102,1427.16,1.33759,1.13296,1.34941,0.77166,0.68164,0.71084,0.47515,1.41127,0.95443,1.26411,0.00394,0.00394,0.00394
103,1580.46,1.3415,1.13096,1.34745,0.78802,0.68189,0.71701,0.47866,1.41216,0.9591,1.26467,0.00388,0.00388,0.00388
104,1736.66,1.32534,1.11932,1.34072,0.79613,0.67906,0.7187,0.47806,1.41398,0.94759,1.2575,0.00382,0.00382,0.00382
105,1899.46,1.32912,1.10979,1.34305,0.78748,0.67958,0.72012,0.48033,1.41024,0.94369,1.25671,0.00376,0.00376,0.00376
106,2063.08,1.30191,1.09153,1.33685,0.79572,0.68096,0.7189,0.48253,1.40717,0.93694,1.25715,0.0037,0.0037,0.0037
107,2222.22,1.33387,1.09467,1.33697,0.79379,0.68058,0.72164,0.47955,1.41102,0.9409,1.25644,0.00364,0.00364,0.00364
108,2377.15,1.30004,1.07706,1.33448,0.78541,0.68516,0.72121,0.47825,1.40837,0.94248,1.25631,0.00358,0.00358,0.00358
109,2532.39,1.31755,1.09179,1.33712,0.79657,0.68479,0.72134,0.47965,1.408,0.94443,1.26036,0.00352,0.00352,0.00352
110,2687.43,1.31675,1.07644,1.3327,0.80698,0.67661,0.72183,0.48072,1.41195,0.94583,1.25899,0.00346,0.00346,0.00346
111,2846.31,1.31248,1.07672,1.33749,0.79806,0.67896,0.72215,0.48197,1.40263,0.93871,1.25507,0.0034,0.0034,0.0034
112,3004.96,1.31194,1.07671,1.33154,0.80705,0.67275,0.72193,0.48331,1.40007,0.94099,1.25252,0.00334,0.00334,0.00334
113,3165.16,1.30148,1.08275,1.32916,0.79766,0.67515,0.72005,0.48348,1.40051,0.93813,1.2545,0.00328,0.00328,0.00328
114,3330.51,1.28771,1.06918,1.33581,0.79105,0.67649,0.71913,0.48474,1.39417,0.93867,1.25368,0.00322,0.00322,0.00322
115,3490.33,1.30647,1.0791,1.32803,0.8068,0.67804,0.72234,0.48548,1.39361,0.93635,1.25231,0.00316,0.00316,0.00316
116,3646.78,1.27988,1.04767,1.32355,0.79803,0.67895,0.72018,0.48595,1.39224,0.94299,1.25137,0.0031,0.0031,0.0031
117,3804.34,1.28601,1.08149,1.3294,0.8054,0.67599,0.72043,0.48501,1.38396,0.94962,1.24741,0.00304,0.00304,0.00304
118,3961.49,1.30342,1.0631,1.33363,0.80485,0.68257,0.72316,0.48736,1.39092,0.95189,1.25121,0.00298,0.00298,0.00298
119,4118.86,1.29591,1.04525,1.32585,0.79966,0.68413,0.72054,0.48497,1.39238,0.95752,1.25268,0.00292,0.00292,0.00292
120,4274.81,1.29892,1.04873,1.32782,0.8068,0.67823,0.72443,0.4858,1.3922,0.93889,1.25123,0.00286,0.00286,0.00286
121,4432.54,1.27731,1.05087,1.3188,0.80274,0.68264,0.72281,0.48656,1.39882,0.93395,1.25934,0.0028,0.0028,0.0028
122,4589.35,1.28688,1.03667,1.32275,0.7941,0.68002,0.72026,0.4846,1.3979,0.9379,1.25855,0.00274,0.00274,0.00274
123,4746.05,1.27962,1.02207,1.31108,0.7958,0.6805,0.71832,0.48447,1.38879,0.94372,1.25164,0.00268,0.00268,0.00268
124,4901.44,1.28421,1.02691,1.3053,0.79938,0.67423,0.71816,0.48474,1.37831,0.93608,1.24504,0.00262,0.00262,0.00262
125,5057.36,1.29732,1.05143,1.31914,0.81077,0.67397,0.72053,0.4877,1.37763,0.93213,1.24527,0.00256,0.00256,0.00256
126,5213.71,1.29901,1.04033,1.31509,0.79517,0.68042,0.71786,0.48641,1.37736,0.93159,1.24396,0.0025,0.0025,0.0025
127,5370.17,1.26565,1.01248,1.30892,0.79592,0.68034,0.71765,0.48955,1.37948,0.93578,1.24734,0.00244,0.00244,0.00244
128,5527.4,1.28687,1.02607,1.31625,0.79455,0.67971,0.72006,0.48842,1.37948,0.92561,1.24794,0.00238,0.00238,0.00238
129,5682.07,1.26322,1.00932,1.30535,0.79546,0.68496,0.72237,0.4885,1.37946,0.92478,1.24333,0.00232,0.00232,0.00232
130,5839.36,1.27353,1.02612,1.30883,0.79731,0.69044,0.72493,0.48959,1.37802,0.9243,1.242,0.00226,0.00226,0.00226
131,5995.51,1.24911,1.00141,1.30324,0.79078,0.68822,0.72426,0.49097,1.37728,0.93872,1.24079,0.0022,0.0022,0.0022
132,6152.63,1.26204,1.00139,1.29993,0.79704,0.68375,0.71957,0.49006,1.37873,0.938,1.24019,0.00214,0.00214,0.00214
133,6309.63,1.27493,1.00658,1.30768,0.78553,0.68644,0.72028,0.48867,1.37559,0.93225,1.23901,0.00208,0.00208,0.00208
134,6467.34,1.28483,1.01497,1.30425,0.79441,0.68748,0.72212,0.48994,1.37206,0.93222,1.23671,0.00202,0.00202,0.00202
135,6625.57,1.25624,0.99304,1.30787,0.79859,0.68745,0.72301,0.4915,1.36938,0.92795,1.23666,0.00196,0.00196,0.00196
136,6784.76,1.27925,1.01213,1.30297,0.80305,0.68422,0.72437,0.49124,1.36893,0.92226,1.23488,0.0019,0.0019,0.0019
137,6944.85,1.27153,1.00772,1.29848,0.80329,0.68578,0.72445,0.49231,1.36863,0.92515,1.23507,0.00184,0.00184,0.00184
138,7103.89,1.26259,0.99668,1.29934,0.7919,0.68655,0.7241,0.49094,1.37126,0.93306,1.23865,0.00178,0.00178,0.00178
139,7263.75,1.25127,0.97841,1.2908,0.78991,0.68755,0.72319,0.49216,1.37245,0.93656,1.24228,0.00172,0.00172,0.00172
140,7423.57,1.27368,0.99313,1.30121,0.78333,0.68824,0.72308,0.492,1.3785,0.94235,1.24522,0.00166,0.00166,0.00166
141,7565.93,1.18275,0.75561,1.23432,0.79786,0.67702,0.7234,0.49115,1.3788,0.94314,1.24495,0.0016,0.0016,0.0016
142,7705.17,1.1694,0.73611,1.22491,0.79878,0.67988,0.72261,0.49176,1.37957,0.94077,1.24348,0.00154,0.00154,0.00154
143,7844.48,1.16358,0.72362,1.21993,0.79526,0.68161,0.72225,0.49274,1.37474,0.93788,1.24028,0.00148,0.00148,0.00148
144,7983.3,1.15294,0.71726,1.21563,0.78623,0.68727,0.72276,0.49281,1.37101,0.94172,1.23702,0.00142,0.00142,0.00142
145,8124.04,1.16323,0.71092,1.21375,0.78822,0.68265,0.72236,0.49266,1.37042,0.9446,1.23608,0.00136,0.00136,0.00136
146,8268.42,1.16553,0.72175,1.2147,0.78739,0.683,0.72166,0.4924,1.37011,0.94567,1.2365,0.0013,0.0013,0.0013
147,8402.97,1.14521,0.69441,1.20543,0.80853,0.67507,0.72224,0.49154,1.37279,0.9471,1.23717,0.00124,0.00124,0.00124
148,8534.22,1.14415,0.69711,1.20262,0.81523,0.67597,0.72293,0.49104,1.37419,0.94487,1.23874,0.00118,0.00118,0.00118
149,8664.66,1.14818,0.70296,1.20563,0.82177,0.67175,0.72399,0.49243,1.37599,0.94278,1.23962,0.00112,0.00112,0.00112
150,8796.27,1.14681,0.71347,1.21371,0.81653,0.67036,0.72396,0.49169,1.37666,0.94189,1.24101,0.00106,0.00106,0.00106
